experiment,startinf,startsup,endinf,endsup,duration
hist,1979-06-30 00:00:00,1980-01-01 00:00:00,2014-06-30 00:00:00,2015-01-01 00:00:00,35
ctrl,1979-06-30 00:00:00,1980-01-01 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,120
ctrl_proj,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-07-01 00:00:00,2101-01-01 00:00:00,86
exp05,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
exp06,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
exp07,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
exp08,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
exp09,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
exp10,2015-01-01 00:00:00,2016-01-02 00:00:00,2100-06-30 00:00:00,2101-01-01 00:00:00,86
